idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn,polpartvt
924862,7,8,Very good,NA,Once a month,178,82,Male,1980, Socialdemokraterne
924901,Most people can be trusted,Extremely happy,Very good,NA,Several times a week,164,70,Female,1957, Det Radikale Venstre
924943,7,9,Very good,NA,2-3 times a month,185,82,Male,1998,[NA] Not applicable
924951,7,8,Very good,NA,Once a week,162,59,Female,1980," Venstre, Danmarks Liberale Parti"
924969,8,5,Good,20,Every day,176,76,Male,1957, Enhedslisten
924985,8,9,Very good,NA,Once a week,188,85,Male,1946," Venstre, Danmarks Liberale Parti"
925038,8,7,Very good,NA,Several times a week,168,63,Female,1968, Det Konservative Folkeparti
925046,7,9,Very good,10,Several times a week,169,74,Female,1960," Venstre, Danmarks Liberale Parti"
925054,8,7,Very good,4,Once a month,170,66,Female,1975, SF Socialistisk Folkeparti
925062,6,9,Very good,NA,Once a month,174,108,Male,1977,[NA] Don't know
925088,4,Extremely happy,Very good,NA,Once a week,178,86,Female,1944," Venstre, Danmarks Liberale Parti"
925096,6,9,Fair,NA,Less than once a month,179,78.6,Male,1996,[NA] Not applicable
925101,6,5,Very good,9,Once a week,176,83,Male,1990,[NA] Not applicable
925119,8,8,Very good,NA,Several times a week,168,57,Female,1971,[NA] Not applicable
925127,5,9,Good,NA,Never,163,62,Female,1989, Socialdemokrat
925143,4,8,Fair,NA,2-3 times a month,168,66,Female,1956, Dansk Folkeparti
925169,7,7,Fair,NA,2-3 times a month,174,64,Male,1933, Socialdemokraterne
925177,5,Extremely happy,Good,13,Every day,164,74,Female,1957,Konservative
925185,9,9,Very good,NA,Once a month,167,54,Female,1974,Konservative
925193,6,8,Fair,1,Once a week,189,75,Male,1996,[NA] Not applicable
925216,6,9,Good,NA,Several times a week,168,102,Female,1958," Venstre, Danmarks Liberale Parti"
925224,5,2,Fair,30,Less than once a month,173,58,Female,1967,[NA] Not applicable
925232,5,9,Very good,NA,Once a month,168,50,Male,1998,[NA] Not applicable
925240,8,9,Very good,NA,2-3 times a month,184,110,Male,1939, Socialdemokraterne
925258,7,7,Good,NA,Once a week,179,99,Male,1967, SF Socialistisk Folkeparti
925274,4,6,Bad,NA,2-3 times a month,174,89,Male,1955,[NA] Not applicable
925282,6,7,Good,NA,Several times a week,163,59,Female,1938, Dansk Folkeparti
925290,7,9,Very good,NA,Several times a week,177,90,Male,1951, Dansk Folkeparti
925305,9,9,Good,NA,Several times a week,180,86,Male,1947, Socialdemokraterne
925313,8,9,Good,NA,Once a week,187,135,Male,1955," Venstre, Danmarks Liberale Parti"
925355,3,8,Fair,NA,Less than once a month,175,82,Male,1962, Enhedslisten
925371,5,9,Fair,NA,NA,162,70,Female,1938, Socialdemokrat
925397,8,9,Good,NA,Several times a week,188,99,Male,1964," Venstre, Danmarks Liberale Parti"
925402,Most people can be trusted,8,Very good,NA,2-3 times a month,166,56,Female,1976, Kristendemokraterne
925410,4,8,Bad,NA,Several times a week,156,60,Female,1969," Venstre, Danmarks Liberale Parti"
925509,8,8,Fair,NA,Every day,170,65,Male,1968," Venstre, Danmarks Liberale Parti"
925525,8,Extremely happy,Fair,NA,Every day,156,50,Female,1939, Dansk Folkeparti
925533,5,Extremely happy,Very good,NA,Several times a week,190,95,Male,1984," Venstre, Danmarks Liberale Parti"
925541,8,8,Good,NA,Less than once a month,180,114,Male,1980, Socialdemokraterne
925559,7,Extremely happy,Good,NA,Once a week,186,105,Male,1996,[NA] Not applicable
925567,6,Extremely happy,Fair,NA,2-3 times a month,152,76,Female,1937," Venstre, Danmarks Liberale Parti"
925575,9,9,Very good,NA,Several times a week,158,57,Female,1939, Enhedslisten
925583,4,9,Good,NA,Less than once a month,169,65,Female,1994,[NA] Not applicable
925591,7,9,Very good,NA,2-3 times a month,164,53,Female,1958, SF Socialistisk Folkeparti
925606,8,9,Very good,14,Once a week,176,104,Male,1955," Venstre, Danmarks Liberale Parti"
925614,5,9,Fair,NA,Never,168,102,Female,1971, Dansk Folkeparti
925622,8,8,Fair,NA,Every day,157,70,Female,1946, Socialdemokraterne
925656,6,9,Very good,NA,Several times a week,168,67,Male,1966," Venstre, Danmarks Liberale Parti"
925680,8,Extremely happy,Good,NA,Several times a week,164,69,Female,1944," Venstre, Danmarks Liberale Parti"
925703,8,5,Fair,NA,2-3 times a month,165,60,Female,1975," Venstre, Danmarks Liberale Parti"
925745,7,8,Very good,20,Once a month,168,65,Female,1957," Venstre, Danmarks Liberale Parti"
925753,7,7,Very good,0,Less than once a month,168,67,Female,1988," Venstre, Danmarks Liberale Parti"
925761,8,9,Very good,NA,Less than once a month,188,77,Male,1987, Socialdemokraterne
925787,7,9,Very good,20,Less than once a month,175,80,Female,1949,[NA] Refusal
925795,8,9,Good,2,Once a week,178,85,Female,1964," Venstre, Danmarks Liberale Parti"
925826,7,9,Very good,NA,2-3 times a month,171,64,Female,1989, Dansk Folkeparti
925876,8,6,Very good,10,Several times a week,189,80,Male,1970, Dansk Folkeparti
925884,5,9,Bad,NA,Never,173,81,Male,1990,[NA] Not applicable
925923,6,8,Bad,NA,Several times a week,177,79,Female,1964," Venstre, Danmarks Liberale Parti"
925999,3,7,Very good,NA,Less than once a month,180,67,Male,1961, Det Radikale Venstre
926026,9,9,Very good,NA,Once a week,167,63,Female,1976, Det Radikale Venstre
926034,7,Extremely happy,Very good,20,Once a week,173,72,Male,1956," Venstre, Danmarks Liberale Parti"
926050,7,9,Very good,10,2-3 times a month,166,58,Female,1974,[NA] Not applicable
926092,7,9,Fair,15,2-3 times a month,173,115,Female,1975, Socialdemokraterne
926107,5,8,Very good,NA,Less than once a month,187,84,Male,1999,[NA] Not applicable
926115,9,9,Very good,NA,2-3 times a month,170,58,Female,1961, Det Radikale Venstre
926131,8,9,Very good,NA,Less than once a month,176,79,Female,1982, Dansk Folkeparti
926149,Most people can be trusted,5,Very good,NA,Several times a week,198,105,Male,1956, Det Radikale Venstre
926181,5,8,Very bad,NA,Every day,183,66,Male,1962," Venstre, Danmarks Liberale Parti"
926199,5,7,Very good,NA,Once a month,175,66.1,Female,1979," Venstre, Danmarks Liberale Parti"
926238,4,9,Very good,10,2-3 times a month,169,56,Female,1969," Venstre, Danmarks Liberale Parti"
926246,5,5,Fair,NA,Never,150,53,Female,1969, Socialdemokraterne
926288,Most people can be trusted,9,Very good,NA,2-3 times a month,160,59,Female,1951, Socialdemokrat
926319,7,8,Good,13,Never,172,62,Male,1957, Socialdemokraterne
926343,2,Extremely happy,Very good,NA,Several times a week,189,80,Male,1987," Venstre, Danmarks Liberale Parti"
926351,8,9,Very good,NA,Once a week,170,60,Female,1973," Venstre, Danmarks Liberale Parti"
926377,5,8,Fair,20,Once a week,176,82,Male,1951, Dansk Folkeparti
926385,8,8,Very good,NA,Once a week,176,73,Male,1943, Socialdemokraterne
926408,7,8,Very good,NA,Once a week,172,76,Male,1945, Socialdemokraterne
926458,8,7,Very good,15,Once a week,172,77,Male,1986, Dansk Folkeparti
926513,7,9,Good,NA,Once a week,159,72,Female,1948, Socialdemokrat
926539,7,8,Very good,0,Once a week,165,59,Female,1994,[NA] Not applicable
926555,6,8,Very good,NA,Less than once a month,183,75,Male,1995,[NA] Not applicable
926563,7,8,Fair,NA,Never,195,66,Male,1997,[NA] Not applicable
926589,9,Extremely happy,Good,NA,Several times a week,172,68,Male,1965, SF Socialistisk Folkeparti
926597,6,7,Good,NA,Less than once a month,173,68,Female,1978," Venstre, Danmarks Liberale Parti"
926652,3,7,Good,NA,2-3 times a month,172,62,Female,1990,[NA] Not applicable
926660,3,5,Good,NA,Once a week,186,66,Male,1965," Venstre, Danmarks Liberale Parti"
926678,9,9,Very good,NA,Less than once a month,180,85,Male,1941," Venstre, Danmarks Liberale Parti"
926694,8,Extremely happy,Good,NA,Every day,177,78,Male,1939, Socialdemokrat
926709,3,9,Fair,NA,2-3 times a month,179,NA,Female,1981, Socialdemokraterne
